galname,full-PACS_70,full-PACS_100,full-PACS_160,full-SPIRE_250,full-SPIRE_350,full-SPIRE_500,full-dust luminosity,full-dust mass,full-dust temperature,pred-PACS_70,pred-PACS_100,pred-PACS_160,pred-SPIRE_250,pred-SPIRE_350,pred-SPIRE_500,pred-dust luminosity,pred-dust mass,pred-dust temperature,fullerr-PACS_70,fullerr-PACS_100,fullerr-PACS_160,fullerr-SPIRE_250,fullerr-SPIRE_350,fullerr-SPIRE_500,fullerr-dust luminosity,fullerr-dust mass,fullerr-dust temperature,prederr-PACS_70,prederr-PACS_100,prederr-PACS_160,prederr-SPIRE_250,prederr-SPIRE_350,prederr-SPIRE_500,prederr-dust luminosity,prederr-dust mass,prederr-dust temperature,color-PACS_70,color-PACS_100,color-PACS_160,color-SPIRE_250,color-SPIRE_350,color-SPIRE_500,color-dust luminosity,color-dust mass,color-dust temperature
G15.DR1.22005,1.1442532699424495,1.5725861978062112,1.8584093635657015,1.8548190722234488,1.6635008175834052,1.352897233249247,2516960069.558398,29839005.498692635,17.54454253997008,1.3961737,1.7913015,1.9675174,1.8425431,1.5769832,1.2101117,3183298484.706255,11073257.918499475,21.032009119970024,0.37418418391526553,0.3077568037364888,0.1631094819220986,0.07065978587596136,0.09357724590743909,0.13552125967513318,797740821.5312256,22252755.332406256,4.355743121379117,0.20359859,0.15596047,0.12023863,0.13289398,0.15378058,0.17400049,1143148060.6382103,7344267.10184485,2.922353,0.7982750000545239,0.8942841860544747,3.0739684394473765,6.839618833365474,4.684804474932251,2.6170110769705364,0.16386966483516574,0.04361915751608913,0.008658159548429648
G15.DR1.317,1.6873856887665966,2.0800240125494485,2.221472123661702,2.0633209930412657,1.782757725144166,1.4034028278630961,15034216813.535437,43025871.65735707,20.841912840354727,1.8957587,2.1984973,2.1946614,1.9275947,1.5796555,1.1735904,19437679258.38079,16418106.480418064,25.139410019192088,0.2865542084804644,0.20315365846179204,0.10376824689813813,0.04202309802027071,0.04204474726640626,0.06365252835841571,4161073193.78103,24710111.47034976,2.936643734341838,0.14162494,0.10859556,0.08400594,0.0928209,0.107177086,0.12067604,5610298671.123866,8048076.047010821,1.9988317,0.6034616833435729,1.23604975072499,4.613023163541237,2.838078879416498,1.7152692029171228,1.372756240208424,0.282549190063628,0.06453493729335733,0.0032579141800306364
G15.DR1.11674,1.5540962502216675,1.8916085361527575,1.9825436683635926,1.7873861442594787,1.4947348322325402,1.1044434026767809,13310228630.389324,23212191.631144714,23.554819757324566,1.4650115,1.8205914,1.9513656,1.8022243,1.5253531,1.1528974,14282779901.254467,28728246.331109736,22.630502685652974,0.30195452226280656,0.20443913904971125,0.11081304948627332,0.08321986233080539,0.10066266154518946,0.12436869716022404,4187297936.8696113,17356461.21307464,4.147542828161093,0.19972636,0.15909913,0.123993084,0.13295926,0.15239914,0.1706427,4913449665.659872,17820648.413483787,2.7499785,1.8403538595624593,2.8229647037894234,5.38336067884511,6.24040453277799,5.827871689825197,5.011644816017494,0.41215948583720835,0.3015122392536407,0.01848150407987685
G09.DR1.141,1.768002272614526,2.0190069358557303,1.9890810101947658,1.6956821322628466,1.347853231779209,0.9225338629428382,1495847427.9540102,1241393.8884932108,24.681287983954448,1.7008822,1.9361165,1.9057597,1.5993663,1.237847,0.78800046,3208908825.645875,2299151.926002562,25.890747077683944,0.1212314624728878,0.08347931176768296,0.048448775278006236,0.04416410421654633,0.05287635316650867,0.061919000617705396,227935525.23386464,371309.4832671089,1.7949754872873347,0.176682,0.13956206,0.11052758,0.12339999,0.14174531,0.15946575,2229899702.070255,1906210.19871267,3.149288,1.916592878222566,3.0776244331069114,3.6031241183469236,1.905549298118697,1.2042306547663972,0.7284258450846058,0.019057670135369728,0.019443707344581267,0.00722909582722311
G15.DR1.24315,1.3601613070338174,1.811167821469189,2.029527346399827,1.9590564410494884,1.7322477790990798,1.396371434384249,2139986642.2576418,17265551.448117863,19.179151675160487,1.2670605,1.7432373,2.015895,1.9838774,1.7696152,1.4451957,1681840827.7402766,17687131.123576805,18.20862771506481,0.3449235982360443,0.27163785881745417,0.16140037270712232,0.08399201119412593,0.10011412458787039,0.14137978712963728,821089913.9979095,14994173.550745158,3.542336499506421,0.20119482,0.15587075,0.12520768,0.14326243,0.16843544,0.1932149,640597299.2179914,11898684.280682502,2.8120422,1.2423768148357932,2.3757623406766886,6.3448124974592455,4.312911433460551,1.709488831866816,0.8018365950236375,0.10688007130219905,0.2983358954785561,0.005377359159784483
G09.DR1.631,1.6314629268750778,1.9476870180853356,1.98618486330998,1.7390983997771408,1.4140393048028412,1.002029756347446,9100534650.378895,10538620.367202265,23.696066104226237,1.4431881,1.7702875,1.8565155,1.643234,1.3388826,0.9540101,8115023639.61222,15610165.578315021,22.591701529096618,0.14702790412991656,0.10451266506239666,0.057270067950608,0.046813843086664295,0.05724036029482301,0.06852021916125049,1542313928.4321923,3595284.9698873446,1.8745346004346892,0.18960315,0.14949238,0.11583912,0.1255807,0.1427166,0.15841469,2878733619.0742474,9056238.011154024,2.4560747,1.2630941753805514,1.507879867681741,1.976052067863792,2.523494778688786,2.5415020375894146,2.6945194846376923,0.3595186819494537,0.1972061963277466,0.017860112639398833
G12.DR1.35524,1.091480465034504,1.5373447745183972,1.7911524084250918,1.7695362132036023,1.5687504362655986,1.252786605578282,371371277.4392474,4705011.923951799,18.534472358121846,1.0557499,1.567145,1.9119061,1.9313627,1.7280614,1.4349805,412842459.6481249,9479249.370946439,16.038629516386994,0.5658101522632525,0.43116296687779,0.26533312521939695,0.17426943093836111,0.17228996824399537,0.19304085523384523,241589491.60595772,3702576.9519408415,9.730643286467442,0.24728724,0.20286398,0.1797049,0.22024556,0.2674708,0.31045875,231201689.8638476,8395061.88913772,3.277909,0.7310728387035548,1.473290158816344,2.4142377375180093,2.324486451025463,1.4917593862053469,0.6267242162552494,0.03317826819980345,0.07709409356658149,0.001355202335157261
G12.DR1.236,1.5886087251733394,1.7943949776024346,1.712184707130824,1.3761332957689123,1.011203132830167,0.5717035949008854,27781827320.616642,12647244.058986777,27.924972623534273,1.4196563,1.8195393,1.9375832,1.7459587,1.4345962,1.0340587,19467960395.820354,32747718.43195649,22.20454405923614,0.1241883092207605,0.07749332383397635,0.037514514843718455,0.037483828486730895,0.04750683478414744,0.05594218927647213,4308907201.228116,3404532.2910969956,1.9490549922557263,0.15140505,0.118549064,0.0916143,0.09941718,0.11316934,0.12554485,6566860564.33754,16206983.92892378,1.9092971,1.3247066696371412,2.9407016819592235,0.8243453501570547,0.20019667903986463,0.1607865684543852,0.16038280163169336,0.17117402505963683,0.08016218621090981,0.003421749075235244
G15.DR1.1345,1.1146121066107335,1.4175771303139517,1.4400422573408376,1.179175398203901,0.8480074033914684,0.431745961359866,10086119215.625813,10943487.390564475,24.44128658390697,0.8535296,1.2628812,1.4367785,1.3071833,1.0332029,0.66078264,5573012081.758615,18047987.34011537,20.717254650660795,0.18299448439526783,0.12173905895819766,0.06145140105757929,0.044364299170031984,0.05480607296008592,0.06680567391204223,2187110005.936765,3874516.28418549,2.243903119346916,0.20936655,0.17397086,0.14152981,0.15300916,0.17537732,0.19546415,2465293242.362308,12362329.247259174,2.6115663,0.18328927956555405,0.3288560965413142,0.4403537422720942,0.33609688483493355,0.21470569868365816,0.16446264131123647,0.05848874418950852,0.18702074374078478,0.0066397525010630795
G12.DR1.40842,1.1769434276697956,1.6412024310137177,1.9797875615580067,2.0184177780272003,1.8456896343171905,1.547145848460197,1465242645.9524403,23293375.10552019,16.672770394915148,1.4525695,1.8570241,2.0696204,1.9903432,1.7360089,1.3871388,2439513317.4104233,12486483.786588525,20.35046578331562,0.39520845068688676,0.32218613591434775,0.17448022459241963,0.09707287622614187,0.11414442735110666,0.1465624088548129,507759322.022472,15831586.798823968,5.0893776352012985,0.21720771,0.16882385,0.13279015,0.14692907,0.17167243,0.19718637,852786955.705712,8884423.630270012,3.3848982,0.7496033639423754,1.04727938747553,3.982928944731084,3.883558969676044,1.3773281684657495,0.6168014392375286,0.052245644363494395,0.11439242880303875,0.006309682493952348
